process,port_info
rapportd,*:49152
rapportd,*:49152
rapportd,192.168.1.89:49152->192.168.1.13:49623
rapportd,*:3722
ControlCe,*:7000
ControlCe,*:7000
ControlCe,*:5000
ControlCe,*:5000
identitys,*:*
identitys,*:*
identitys,[fe80:18::4ab5:e739:912f:6152]:1024->[fe80:18::b48f:bd7b:247e:6260]:1024
identitys,[fe80:18::4ab5:e739:912f:6152]:1025->[fe80:18::b48f:bd7b:247e:6260]:1026
identitys,[fe80:18::4ab5:e739:912f:6152]:1025->[fe80:18::b48f:bd7b:247e:6260]:1026
WeatherWi,10.5.0.2:56624->17.253.3.79:443
NewsToday,10.5.0.2:61397->17.248.199.69:443
StocksWid,10.5.0.2:63724->17.253.3.95:443
StocksWid,10.5.0.2:60392->17.248.199.28:443
sharingd,*:*
sharingd,*:59625
ollama,127.0.0.1:11434
OneDrive,10.5.0.2:61453->172.183.7.192:443
OneDrive,10.5.0.2:61453->172.183.7.192:443
OneDrive,[::1]:42050
Code\x20H,10.5.0.2:61445->140.82.114.22:443
Code\x20H,10.5.0.2:61406->20.189.173.4:443
Code\x20H,10.5.0.2:61446->40.71.11.167:443
NordVPN,10.5.0.2:61450->104.18.34.244:443
NordVPN,10.5.0.2:64945->174.129.250.98:8884
NordVPN,10.5.0.2:50976->142.250.64.106:443
Claude,10.5.0.2:61042->18.97.36.60:443
Code\x20H,10.5.0.2:60900->3.162.112.102:443
Code\x20H,127.0.0.1:37370
Code\x20H,127.0.0.1:57069
Code\x20H,127.0.0.1:5441
Code\x20H,*:57090
Cursor,*:57717
Cursor,*:51945
replicato,*:56978
Cursor,*:60604
Google,10.5.0.2:64901->172.253.63.188:5228
Google,10.5.0.2:61448->140.82.114.26:443
Google,10.5.0.2:61456->24.144.124.197:443
Google,10.5.0.2:61457->192.0.0.88:443
Google,10.5.0.2:64966->13.35.107.81:443
Google,10.5.0.2:53847->13.35.107.95:443
Google,10.5.0.2:64293->172.217.74.94:443
Google,10.5.0.2:61287->172.64.148.235:443
Google,10.5.0.2:56979->142.250.81.234:443
Google,10.5.0.2:61363->52.85.193.55:443
Google,*:5353
Google,*:5353
Google,*:5353
Google,*:5353
Google,*:5353
Google,*:5353
Google,*:5353
